Washington State Median Household Income Estimates by County: 1989 to 2022. Preliminary estimates for 2023 and Projections for 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Census,Estimate,,,,,,,,,Census,,Estimate,,,,,,,,,Census,Estimate,,,,,,,,,,,,Prelim. Estimate,Projection,,,,,,,,,,,
,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"31,183","33,417","34,379","35,882","36,679","37,895","38,997","40,568","42,399","44,514","45,776","44,120","45,761","46,039","46,967","49,585","50,004","53,522","56,141","57,858","55,458","54,888","55,500","56,444","57,284","60,153"," 63,439 "," 65,500 "," 69,288 "," 72,297 "," 78,674 "," 80,319 "," 84,155 "," 91,255 "," 94,553 "," 97,970 ",,,,,,,,,,,
Adams,"24,604","28,024","27,301","28,328","31,277","29,537","29,604","31,806","31,795","34,073","33,888","35,292","37,839","38,306","38,934","39,235","39,105","41,298","42,299","42,455","41,102","40,656","41,068","42,354","43,541","45,712"," 47,646 "," 49,501 "," 48,849 "," 52,870 "," 53,535 "," 56,421 "," 57,405 "," 62,410 "," 67,056 "," 72,048 ",,,,,,,,,,,
Asotin,"22,897","24,206","25,110","26,251","27,359","27,873","28,288","29,813","31,499","32,477","33,524","32,590","35,920","37,013","37,080","37,140","37,657","39,768","40,558","42,945","40,035","39,820","40,171","41,703","42,174","43,368"," 46,107 "," 47,020 "," 51,767 "," 50,746 "," 54,776 "," 53,377 "," 56,438 "," 65,625 "," 67,820 "," 63,964 ",,,,,,,,,,,
Benton,"32,593","35,012","37,093","39,228","41,153","42,790","42,540","42,817","44,057","45,665","47,044","49,389","52,598","53,736","55,409","57,613","56,200","54,942","55,361","57,114","58,496","60,070","60,608","62,739","63,710","63,157"," 62,071 "," 62,282 "," 63,502 "," 67,912 "," 72,847 "," 75,882 "," 77,339 "," 85,144 "," 87,992 "," 80,988 ",,,,,,,,,,,
Chelan,"24,312","25,833","27,592","28,746","30,148","31,547","32,164","33,918","35,662","37,175","37,316","39,439","41,653","41,731","42,918","43,696","44,422","46,522","44,964","44,013","46,780","45,478","46,275","47,265","51,713","50,825"," 53,068 "," 55,109 "," 60,791 "," 60,747 "," 59,838 "," 61,546 "," 64,700 "," 81,697 "," 84,430 "," 76,794 ",,,,,,,,,,,
Clallam,"25,434","27,329","27,861","28,578","29,340","29,951","31,163","32,559","34,770","36,012","36,449","30,866","32,939","33,229","34,020","34,172","35,050","37,770","37,926","40,912","38,647","38,397","38,886","41,887","44,824","45,454"," 46,241 "," 48,187 "," 47,767 "," 55,664 "," 57,571 "," 54,712 "," 62,623 "," 66,693 "," 68,924 "," 67,451 ",,,,,,,,,,,
Clark,"31,800","33,734","34,250","35,847","37,418","38,828","40,525","43,044","45,705","47,252","48,376","49,320","51,610","50,518","50,520","50,474","52,108","56,994","57,621","57,999","54,370","54,581","54,951","56,054","57,852","61,711"," 63,639 "," 66,782 "," 71,922 "," 71,659 "," 80,407 "," 76,929 "," 83,790 "," 91,149 "," 94,198 "," 103,738 ",,,,,,,,,,,
Columbia,"22,418","24,478","24,123","26,136","28,123","26,779","29,861","33,041","30,820","33,060","33,500","37,360","38,376","37,328","37,593","37,341","36,028","37,211","41,531","43,508","39,978","38,474","38,916","39,461","39,931","42,886"," 39,807 "," 41,517 "," 43,622 "," 46,550 "," 56,338 "," 58,220 "," 59,650 "," 62,935 "," 65,040 "," 69,775 ",,,,,,,,,,,
Cowlitz,"27,866","29,746","31,038","31,195","31,957","33,309","34,191","35,516","36,738","38,437","39,797","35,246","37,266","37,040","36,516","36,355","37,958","39,777","39,954","41,412","40,572","40,867","41,406","42,752","43,409","39,635"," 49,997 "," 48,208 "," 47,132 "," 54,588 "," 57,316 "," 64,357 "," 70,104 "," 71,847 "," 74,250 "," 72,145 ",,,,,,,,,,,
Douglas,"27,054","28,708","29,407","30,932","31,855","32,688","32,930","35,420","36,855","37,733","38,464","39,789","40,699","41,062","41,809","42,524","43,189","45,383","45,748","48,325","46,269","46,159","46,723","48,050","49,030","50,878"," 50,886 "," 52,364 "," 54,581 "," 65,913 "," 63,086 "," 64,768 "," 64,932 "," 83,870 "," 86,676 "," 72,112 ",,,,,,,,,,,
Ferry,"25,170","27,355","27,236","27,841","27,829","29,587","28,910","30,091","30,489","30,412","30,388","31,175","33,129","33,488","33,182","33,867","34,452","34,828","37,001","38,093","38,284","36,712","36,921","37,548","39,596","41,343"," 40,340 "," 42,330 "," 45,546 "," 42,212 "," 47,463 "," 47,722 "," 50,565 "," 57,064 "," 58,973 "," 57,116 ",,,,,,,,,,,
Franklin,"24,604","26,435","26,861","28,680","30,902","31,768","32,604","34,843","35,770","37,209","38,991","38,755","41,681","41,817","42,117","41,309","42,256","43,187","49,337","44,797","48,754","53,355","53,644","56,221","56,105","58,538"," 57,664 "," 58,854 "," 63,345 "," 62,516 "," 63,575 "," 73,656 "," 79,532 "," 77,820 "," 80,423 "," 87,551 ",,,,,,,,,,,
Garfield,"25,156","26,534","27,185","28,554","30,368","27,044","30,435","34,959","34,792","36,608","33,398","38,507","38,485","38,343","41,173","40,350","39,603","40,567","45,811","49,407","45,672","43,915","44,608","45,187","44,446","44,684"," 46,616 "," 46,358 "," 47,037 "," 44,808 "," 54,555 "," 56,804 "," 61,268 "," 64,413 "," 66,568 "," 62,232 ",,,,,,,,,,,
