County,Year,Median_Income,POP_TOTAL,POP_F_TOTAL,POP_M_TOTAL,SRS_TOTAL,NIB_PROPTOT,NIB_PRSNTOT,NIB_SCTYTOT,NIB_TOTAL,ARR_TOTAL,ARN_TOTAL,SCF_TOTAL,JDP_TOTALADP,JST_TOTAL,PDP_TOTAL,PST_TOTAL,JRR_TOTAL,JRN_TOTAL,JAD_TOTAL,JUV_TOTAL,Crime_Rate
King,1990,38632.719,1507319,764643,742676,121629,0,0,0,0,82369,0,7211,1737,3084,1179,1454,,0,,,8069.227549
Snohomish,1990,38819.799,465642,233448,232194,19125,0,0,0,0,9161,0,1545,497,826,266,333,,0,,,4107.232595
King,1991,39830.512,1553074,786713,766361,125770,0,0,0,0,80792,0,7235,1743,3134,1188,1575,,0,,,8098.133122
Snohomish,1991,39867.516,480855,240885,239970,20538,0,0,0,0,10523,0,1498,490,804,232,325,,0,,,4271.142028
King,1992,41646.559,1579183,798973,780210,126606,0,0,0,0,85430,0,7548,1946,3331,1545,1843,,0,,,8017.183569
Snohomish,1992,41670.233,493874,247255,246619,20559,0,0,0,0,10139,0,1662,529,901,337,398,,0,,,4162.802658
King,1993,42234.32,1606135,811602,794533,121584,0,0,0,0,86577,0,7434,1998,3602,1615,1822,,0,,,7569.973881
Snohomish,1993,42417.842,507745,254043,253702,16854,0,0,0,0,6809,0,1678,491,883,316,389,,0,,,3319.382761
King,1994,43809.56,1624322,819840,804482,118046,0,0,0,0,80390,0,7595,2143,3212,1567,1711,,0,,,7267.401414
Snohomish,1994,43740.515,517298,258704,258594,15831,0,0,0,0,5426,0,1540,515,846,323,383,,0,,,3060.324996
King,1995,45397.216,1642451,828037,814414,119836,0,0,0,0,74986,0,7864,2332,3483,1633,1820,,0,,,7296.168957
Snohomish,1995,44993.578,527649,263766,263883,15560,0,0,0,0,8549,0,1751,560,827,301,336,,0,,,2948.930065
King,1996,46725.847,1659385,835662,823723,119801,0,0,0,0,70720,0,7769,2344,2960,1678,1817,,0,,,7219.602443
Snohomish,1996,47415.568,539579,269634,269945,16285,0,0,0,0,8958,0,1881,611,943,337,408,,0,,,3018.093736
King,1997,48270.72,1679516,844956,834560,120452,0,0,0,0,43904,0,9074,2475,2892,1626,1795,,0,,,7171.828074
Snohomish,1997,50679.67,557016,278262,278754,24015,0,0,0,0,14527,0,1888,634,917,397,459,,0,,,4311.36628
King,1998,51265.502,1702140,855583,846557,112608,0,0,0,0,49371,0,9454,2754,3130,1725,1964,,0,,,6615.672036
Snohomish,1998,52341.735,576165,287744,288421,22865,0,0,0,0,15979,0,2167,696,965,435,516,,0,,,3968.481251
King,1999,53157,1720098,863844,856254,105563,0,0,0,0,46142,0,9977,2830,3357,1640,1913,,0,,,6137.034053
Snohomish,1999,53060,591590,295353,296237,21040,0,0,0,0,14008,0,2046,714,1102,388,470,,0,,,3556.517183
King,2000,53936.59929,1737034,872577,864457,100284,0,0,0,0,50325,0,10622,2939,3641,1596,1946,,0,,,5773.289412
Snohomish,2000,50869.60964,606024,302815,303209,20838,0,0,0,0,14040,0,2057,756,1056,381,466,,0,,,3438.477684
King,2001,55219.62612,1758300,883159,875141,102387,0,0,0,0,49175,0,10392,2894.4,3087,1871,2084,,0,,,5823.067736
Snohomish,2001,52935.27295,618600,309023,309577,24359,0,0,0,0,13622,0,2392,1067,1083,408,518,,0,,,3937.76269
King,2002,56097.74657,1774312,891125,883187,103234,0,0,0,0,45430,0,9198,2636,3581,1905,2282,,0,,,5818.255188
Snohomish,2002,53174.32724,628000,313678,314322,24103,0,0,0,0,14063,0,2611,,1333,511,623,,0,,,3838.057325
King,2003,56951.55911,1779300,893648,885652,106821,0,0,0,0,45533,0,9911,2381.7,2808,1874,1960,,0,,,6003.540718
Snohomish,2003,54562.61702,637500,318416,319084,24106,0,0,0,0,13759,0,2522,874,1286,600,744,,0,,,3781.333333
King,2004,61565.0916,1788300,898117,890183,107078,0,0,0,0,44446,0,9106,2445.9,2700,2047,2102,,0,,,5987.697814
Snohomish,2004,56736.33713,644800,322030,322770,25891,0,0,0,0,15878,0,2463,1150,1186,583,658,,0,,,4015.353598
King,2005,61225.18076,1808300,908053,900247,112267,0,0,0,0,45354,0,9084,2592.2,2828,1836,2080,6684,0,,,6208.427805
Snohomish,2005,58352.87916,655800,327473,328327,29137,0,0,0,0,16573,0,2617,,1275,562,726,3302,0,,,4442.970418
King,2006,63745.43627,1835300,921410,913890,103194,0,0,0,0,48549,0,9973,2658.3,3071,1752,2135,6474,0,110,,5622.731978
