Category,Year,County,Crime_Count,Median_Income
Males 0-11,1990,King,122472,NA
Males 0-11,1990,Snohomish,47611,NA
Males 12-17,1990,King,52255,NA
Males 12-17,1990,Snohomish,19013,NA
Males 18-39,1990,King,300658,NA
Males 18-39,1990,Snohomish,87904,NA
Males 40+,1990,King,267291,NA
Males 40+,1990,Snohomish,77666,NA
Females 0-11,1990,King,118056,NA
Females 0-11,1990,Snohomish,44984,NA
Females 12-17,1990,King,50098,NA
Females 12-17,1990,Snohomish,18086,NA
Females 18-39,1990,King,296271,NA
Females 18-39,1990,Snohomish,86472,NA
Females 40+,1990,King,300218,NA
Females 40+,1990,Snohomish,83906,NA
Males TOTAL,1990,King,742676,NA
Males TOTAL,1990,Snohomish,232194,NA
Females TOTAL,1990,King,764643,NA
Females TOTAL,1990,Snohomish,233448,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
NA,1990,King,NA,NA
NA,1990,Snohomish,NA,NA
"Reported SRS Crimes - Washington Association of Sheriffs
and Police Chiefs",1990,King,NA,NA
"Reported SRS Crimes - Washington Association of Sheriffs
and Police Chiefs",1990,Snohomish,NA,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
Calendar Year,1990,Snohomish,1990,NA
Calendar Year,1990,King,1990,NA
